Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,target
51,1,2,2,2,4,0,44,6,3,2,3181,2517,664,0.595,818,16,0.455,0.7909999999999999,1
34,1,2,2,1,4,0,29,5,2,2,5845,0,5845,0.504,2308,35,0.591,0,1
29,0,0,4,0,2,0,15,2,1,3,8022,0,8022,0.381,5660,59,0.735,0,1
45,0,5,3,0,0,0,36,2,3,2,5287,0,5287,0.841,8392,69,0.6829999999999999,0,1
41,1,4,2,1,4,0,36,6,2,2,1655,0,1655,0.496,2156,37,0.1939999999999999,0,1
38,0,1,3,2,0,0,30,5,3,3,10874,2415,8459,0.933,4619,59,0.3720000000000001,0.222,1
48,0,2,3,1,0,0,36,3,3,3,27126,0,27126,0.953,1000,25,0.7859999999999999,0,1
57,0,3,2,1,2,0,49,5,0,3,8701,215,8486,0.527,1999,41,0.414,0.025,1
34,0,2,3,1,3,0,25,6,2,0,1439,0,1439,0.89,2932,44,0.913,0,1
49,0,3,4,2,2,0,42,2,4,2,14895,0,14895,1.043,5147,53,0.5589999999999999,0,1
53,1,2,0,1,4,0,44,3,3,3,1473,0,1473,0.92,2836,48,0.6,0,1
35,0,4,2,1,3,0,24,6,3,4,12634,0,12634,0.3229999999999999,717,18,0.286,0,1
52,1,3,0,1,4,0,40,3,2,3,3474,0,3474,0.735,2675,37,0.48,0,1
49,0,4,2,2,2,0,36,1,4,5,5662,1484,4178,0.434,1693,25,0.25,0.262,1
37,1,3,3,2,4,0,29,3,3,3,1653,0,1653,0.517,2284,35,0.296,0,1
43,0,1,2,1,3,0,37,4,2,3,25517,321,25196,0.769,2508,44,0.294,0.013,1
50,1,2,2,1,1,0,40,3,1,4,7191,0,7191,0.565,1654,30,0.579,0,1
53,0,3,3,2,3,3,33,2,2,3,34516,0,34516,0.534,6361,74,1.114,0,1
62,1,1,3,2,4,0,36,2,3,4,1930,0,1930,0.331,1971,45,0.25,0,1
49,1,2,2,2,4,0,31,5,1,2,5456,951,4505,0.737,1096,27,0.588,0.174,1
54,1,3,2,0,1,0,34,2,3,4,4948,0,4948,0.392,1796,41,0.519,0,1
56,1,3,2,1,1,0,44,6,3,4,1544,0,1544,0.315,1902,35,0.4,0,1
64,0,0,2,2,4,0,52,2,3,5,3570,2517,1053,0.69,3289,47,0.958,0.705,1
44,0,3,2,1,2,0,34,5,3,3,14201,0,14201,0.574,2223,47,0.679,0,1
49,0,3,3,1,2,0,34,6,3,3,1511,0,1511,0.4320000000000001,1329,35,0.591,0,1
46,0,3,1,0,3,0,38,6,3,3,8258,1771,6487,0,1447,23,0,0.214,1
43,1,3,5,1,4,0,30,1,3,4,4579,1506,3073,0.4429999999999999,1915,44,0.375,0.3289999999999999,1
59,1,0,4,1,1,0,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0,1
55,1,1,0,2,4,0,48,3,5,3,2114,546,1568,0.619,2578,42,0.75,0.258,1
51,1,1,2,2,4,0,37,1,3,4,7176,0,7176,0.45,1375,33,0.65,0,1
43,1,4,3,0,4,0,32,2,3,2,8203,0,8203,0.691,2613,46,0.84,0,1
57,1,1,5,2,4,0,46,2,3,3,9129,0,9129,0.733,7733,81,0.884,0,1
43,1,3,3,2,1,0,34,1,3,2,1654,1474,180,0.586,2086,47,0.621,0.8909999999999999,1
51,1,2,2,2,1,0,36,3,1,4,1495,0,1495,0.528,2220,50,0.562,0,1
61,1,0,3,1,4,0,47,1,3,4,4130,0,4130,0.8140000000000001,2418,57,0.7809999999999999,0,1
47,0,2,1,0,3,0,32,1,3,3,1438.3,0,1438.3,0.4539999999999999,2388,42,0.5,0,1
57,1,3,5,2,4,0,51,3,0,3,1438.3,0,1438.3,0.429,2113,38,0.267,0,1
42,1,3,3,1,1,0,36,1,3,4,4527,0,4527,0.8009999999999999,2441,37,0.37,0,1
54,1,2,3,0,4,0,36,6,3,1,3591,2517,1074,0.665,2313,43,0.536,0.701,1
47,0,3,0,2,2,0,39,5,3,2,22599,0,22599,1.039,4739,55,0.486,0,1
30,1,1,0,2,4,0,36,4,3,6,4541,0,4541,0.976,7996,80,0.778,0,1
43,0,2,5,1,2,0,24,2,3,3,14447,0,14447,0.856,915,29,2.222,0,1
39,1,4,0,1,1,0,28,4,2,4,7596,2199,5397,0.633,2164,45,0.5,0.289,1
34,0,3,4,2,1,0,28,2,3,2,3744,0,3744,0.7959999999999999,8202,69,0.769,0,1
58,0,1,2,2,0,0,36,2,3,4,28618,0,28618,0.685,1712,41,0.414,0,1
52,0,3,5,2,0,0,48,5,3,4,20974,0,20974,0,1246,27,0,0,1
52,1,1,2,2,4,0,40,1,2,2,2317,0,2317,1.005,884,19,0.727,0,1
57,0,2,5,2,2,3,49,4,3,3,32182,0,32182,0.52,1937,46,0.7040000000000001,0,1
37,0,3,3,2,0,0,36,3,2,2,7361,0,7361,0.59,2109,44,0.5710000000000001,0,1
55,0,1,5,2,0,0,41,3,4,4,24542,2354,22188,0.314,984,24,0.263,0.096,1
57,0,2,2,2,0,0,51,3,5,3,8760,0,8760,0.726,2460,39,0.56,0,1
41,1,2,2,1,1,0,32,3,2,2,9576,0,9576,0.8170000000000001,2362,49,0.4,0,1
57,1,3,3,2,4,0,36,4,3,3,2347,1900,447,0.845,2447,47,0.621,0.81,1
48,0,2,3,2,2,0,36,4,3,1,1641,0,1641,0.7909999999999999,2536,45,0.364,0,1
62,1,0,2,1,4,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,1
37,1,1,3,2,1,0,27,4,2,2,1793,792,1001,0.723,2374,40,0.429,0.442,1
49,1,3,0,1,4,0,41,3,3,3,1603,749,854,0.733,2644,43,0.483,0.467,1
49,1,1,2,1,4,0,43,5,3,3,1938,0,1938,0.612,2870,49,0.75,0,1
48,1,2,1,1,4,0,36,4,3,4,2514,2090,424,0.8420000000000001,2603,53,0.606,0.831,1
32,1,0,2,2,4,0,36,5,3,3,8135,0,8135,0.841,8620,67,0.971,0,1
38,0,4,5,1,3,0,25,5,2,4,5768,0,5768,0.924,9867,78,0.902,0,1
39,0,2,2,0,1,3,23,5,2,3,17894,304,17590,0.965,4691,63,0.465,0.017,1
46,1,4,2,1,4,0,28,4,2,3,8318,2517,5801,0.69,2427,52,0.625,0.303,1
50,0,2,2,1,3,0,31,3,3,3,12906,321,12585,0.76,2078,62,0.55,0.025,1
45,1,3,5,0,4,0,32,3,2,2,1942,0,1942,0.366,1853,31,0.107,0,1
58,0,1,2,2,3,0,36,6,3,4,22718,0,22718,0.747,8100,77,0.833,0,1
52,1,3,3,1,4,0,40,3,5,1,2003,1735,268,0.855,2343,42,0.355,0.866,1
39,1,2,1,1,4,0,36,4,3,4,1438.3,886,552.3,0.24,1674,42,0.312,0.616,1
26,0,0,3,2,1,0,15,3,1,3,3324,0,3324,0.537,982,22,0.6920000000000001,0,1
48,1,3,1,2,4,0,39,3,3,4,1644,500,1144,0.784,2450,45,0.406,0.304,1
40,1,4,2,2,4,0,22,4,2,3,1438.3,0,1438.3,0.695,2502,45,0.452,0,1
62,0,0,3,1,2,0,56,3,3,2,8077,0,8077,0.7490000000000001,906,16,0.3329999999999999,0,1
49,1,3,2,1,4,0,38,6,3,2,2185,0,2185,0.727,715,20,0.818,0,1
53,1,1,2,2,4,0,48,6,6,3,2370,1166,1204,0.562,2164,45,0.607,0.4920000000000001,1
43,1,5,2,1,4,0,39,2,3,4,3981,0,3981,0.764,2134,42,0.355,0,1
52,0,3,1,1,3,0,36,2,3,3,3022,895,2127,0.95,2724,38,0.9,0.296,1
54,0,4,3,2,3,3,49,1,3,4,34516,214,34302,0,1201,22,0,0.006,1
44,1,1,0,1,4,0,36,6,3,3,3052,0,3052,0.868,2598,47,0.469,0,1
58,0,1,0,2,0,3,45,1,3,2,34516,0,34516,0.964,4864,48,0.5479999999999999,0,1
53,1,4,2,1,4,0,37,3,2,3,1722,0,1722,0.863,2141,35,0.346,0,1
49,0,3,5,1,0,0,38,2,3,3,8549,0,8549,1.023,9192,77,0.7909999999999999,0,1
50,0,3,0,2,3,3,36,3,3,2,34516,2517,31999,0.735,7155,66,0.65,0.073,1
54,0,2,2,2,2,3,45,2,3,2,30540,0,30540,0.602,1980,36,0.8,0,1
43,0,2,0,0,0,0,37,4,1,2,34516,0,34516,0.536,1370,38,0.357,0,1
37,0,2,2,1,0,0,30,2,4,4,13662,0,13662,0.153,725,22,0,0,1
51,1,3,2,0,4,0,41,5,3,3,1495,691,804,0.705,2552,42,0.556,0.462,1
41,0,3,1,2,0,0,26,3,2,2,9220,0,9220,0.733,2276,32,0.6,0,1
46,1,3,1,2,4,1,36,1,3,5,15164,532,14632,0.858,8356,68,0.478,0.035,1
63,0,0,2,2,2,0,51,3,3,3,11619,0,11619,0.631,2395,49,0.361,0,1
52,0,2,2,0,3,3,44,4,3,2,34516,751,33765,0.357,5806,40,0.429,0.022,1
43,0,3,2,1,2,0,36,4,2,3,17239,0,17239,0.3929999999999999,1789,38,0.357,0,1
61,1,0,2,0,4,0,36,2,3,3,2125,0,2125,0.654,2860,38,0.727,0,1
56,1,2,5,2,4,0,36,1,3,5,1883,400,1483,0.528,1954,45,0.5,0.212,1
55,0,5,4,2,3,0,47,3,1,4,1438.3,0,1438.3,0.414,1427,36,0.3329999999999999,0,1
35,1,4,3,1,4,0,24,3,2,4,1555,872,683,0.772,2252,51,0.645,0.561,1
45,1,2,1,1,4,0,31,4,3,4,2704,2262,442,0.87,2362,39,0.444,0.8370000000000001,1
46,0,4,2,2,3,0,36,3,1,4,1818,0,1818,0.672,2308,44,0.467,0,1
38,0,3,0,2,2,0,18,5,1,5,16317,0,16317,0.5660000000000001,1995,54,0.929,0,1
56,1,3,0,2,4,0,46,1,3,3,2272,1350,922,0.762,2354,49,0.96,0.594,1
55,1,1,3,1,1,0,46,2,4,3,4629,710,3919,0.7879999999999999,2877,49,0.581,0.153,1
45,1,2,0,2,4,0,33,1,3,3,1833,0,1833,0.5489999999999999,2037,31,0.292,0,1
48,0,2,1,2,1,0,42,6,3,2,2760,0,2760,0.5760000000000001,1759,34,0.214,0,1
39,1,1,5,1,1,0,27,3,3,3,2821,725,2096,0.7040000000000001,2397,35,0.296,0.257,1
44,1,2,2,0,4,0,36,3,2,3,1880,0,1880,0.519,2469,34,0.417,0,1
35,0,1,1,2,3,0,27,3,2,2,2904,2517,387,0.624,2653,46,0.586,0.867,1
40,0,2,5,1,2,0,29,3,2,2,6332,318,6014,0.7829999999999999,2505,43,0.536,0.05,1
45,0,4,1,1,2,0,37,1,2,2,13093,2517,10576,0.426,2032,39,0.444,0.192,1
46,0,3,0,2,3,0,39,1,4,3,4026,243,3783,0.738,1102,27,0.8,0.06,1
48,0,3,4,1,1,0,36,3,2,4,2954,931,2023,0.575,2433,29,0.381,0.315,1
37,1,2,1,2,1,0,18,4,1,3,1900,0,1900,0.7759999999999999,2880,46,0.353,0,1
46,0,3,0,1,2,0,39,3,3,2,13344,1907,11437,0.8320000000000001,8534,86,0.83,0.143,1
44,1,2,1,0,4,0,36,1,2,2,1916,0,1916,1.041,2888,39,0.444,0,1
53,0,0,3,2,0,3,44,2,4,4,34516,2297,32219,0.416,1461,43,0.536,0.067,1
48,0,0,1,1,2,0,41,2,3,4,7277,504,6773,0.5820000000000001,2356,40,0.29,0.069,1
44,1,2,3,2,4,0,31,3,3,3,1506,168,1338,0.6709999999999999,2312,44,0.467,0.1119999999999999,1
38,0,2,2,2,0,0,36,5,2,1,34516,1229,33287,0.4270000000000001,1797,35,0.296,0.036,1
59,0,1,5,2,1,3,49,3,2,2,15809,0,15809,0.992,3109,48,0.412,0,1
51,1,2,1,1,4,0,41,2,2,3,6630,916,5714,0.927,842,24,0.5,0.138,1
43,1,4,5,0,4,0,33,6,3,1,1706,0,1706,0.601,2371,45,0.5,0,1
44,1,3,2,1,4,0,36,6,3,4,1984,0,1984,0.89,2506,46,0.643,0,1
41,1,4,3,2,4,0,36,6,3,3,4720,0,4720,0.978,8798,67,0.675,0,1
56,1,1,3,2,4,0,48,1,5,2,3556,0,3556,0.596,2220,45,0.731,0,1
51,1,1,2,1,4,3,45,6,3,3,13199,781,12418,0.411,1927,44,0.63,0.059,1
56,0,1,5,2,2,0,36,6,4,3,15219,2281,12938,0.8320000000000001,7625,78,0.95,0.15,1
42,1,3,1,2,4,0,30,2,3,3,1438.3,0,1438.3,0.373,1693,37,0.423,0,1
59,0,0,3,2,1,0,48,2,4,3,3616,1054,2562,0.616,687,17,0.545,0.291,1
43,1,2,0,1,4,0,36,5,2,3,4020,0,4020,0.563,1952,39,0.345,0,1
48,1,3,2,2,1,0,41,5,3,3,1899,671,1228,0.736,2434,45,0.406,0.353,1
56,1,2,3,2,4,0,42,5,4,2,2423,268,2155,0.804,2516,59,0.639,0.111,1
45,0,3,2,2,2,0,32,2,3,2,13162,0,13162,0.512,1424,38,0.583,0,1
59,0,2,3,2,3,0,54,3,2,2,2791,2396,395,0.889,2658,43,0.344,0.858,1
50,0,2,3,1,0,3,37,5,2,1,34516,399,34117,0.726,2118,41,0.519,0.012,1
54,0,2,0,2,0,0,36,3,2,3,34516,0,34516,0.628,2329,47,0.516,0,1
45,1,3,3,1,1,0,37,4,2,4,3304,0,3304,0.532,1731,32,0.28,0,1
50,1,0,1,2,4,0,38,4,3,3,2595,2353,242,0.924,2526,41,0.5770000000000001,0.907,1
45,0,3,0,2,3,3,33,1,3,3,34516,0,34516,1.492,2534,43,0.433,0,1
44,1,0,0,1,4,0,40,5,4,2,7499,1083,6416,0.716,2478,45,0.667,0.144,1
29,1,0,0,1,4,0,19,2,1,2,3261,2517,744,0.636,2461,54,0.742,0.772,1
62,0,1,3,2,2,0,46,2,3,3,7547,2477,5070,1.021,5294,73,0.698,0.3279999999999999,1
41,1,5,4,1,4,0,36,5,3,3,1495,0,1495,0.6859999999999999,2622,70,0.628,0,1
57,1,0,2,2,4,0,45,4,3,3,3023,2517,506,0.6459999999999999,2477,42,0.615,0.833,1
45,1,2,2,1,1,0,26,6,2,4,4307,0,4307,0.743,8697,62,0.59,0,1
42,1,1,3,1,1,0,36,5,3,2,2705,2430,275,0.698,2602,43,0.433,0.898,1
43,1,4,2,2,4,0,32,4,3,1,3015,0,3015,1.058,5372,75,0.596,0,1
48,0,5,4,2,0,3,41,5,3,1,34516,2517,31999,0.5529999999999999,2260,50,0.7859999999999999,0.073,1
44,0,4,5,1,1,0,33,5,4,3,1527,0,1527,0.531,1877,38,0.462,0,1
47,1,3,0,1,4,0,35,6,3,2,1781,0,1781,0.693,2196,35,0.75,0,1
47,1,3,2,1,1,0,31,6,3,6,5496,0,5496,0.5479999999999999,1913,34,0.308,0,1
55,0,3,5,0,3,0,41,1,3,4,34516,2408,32108,0.7959999999999999,1187,40,0.6,0.07,1
59,0,0,3,2,2,0,54,3,6,6,24621,471,24150,0.85,2864,51,0.759,0.019,1
48,0,4,5,2,1,0,37,1,3,4,5268,2191,3077,0.622,2138,40,0.429,0.416,1
44,1,3,5,1,4,0,36,6,3,3,1684,0,1684,0.557,2275,45,0.607,0,1
53,0,4,5,2,2,0,43,1,3,2,13720,0,13720,0.6709999999999999,1830,36,0.241,0,1
51,1,4,2,2,4,0,44,5,3,3,1483,0,1483,0.7070000000000001,2520,40,0.429,0,1
56,1,2,0,2,4,0,52,3,5,1,3639,2178,1461,0.451,1865,42,0.5,0.599,1
55,1,1,5,2,4,0,49,3,4,3,3292,0,3292,0.482,2222,54,0.636,0,1
48,1,3,3,1,4,0,43,3,3,3,1670,0,1670,0.7070000000000001,2790,37,0.321,0,1
46,1,1,3,1,4,0,42,5,4,1,1438.3,0,1438.3,0.637,1843,44,0.63,0,1
31,0,1,4,2,1,0,24,4,2,4,4169,534,3635,0.836,8565,70,0.795,0.128,1
51,0,1,3,2,3,0,38,2,3,3,28605,0,28605,1.054,5524,67,0.718,0,1
37,1,3,2,2,4,0,24,2,1,4,2802,2460,342,1.029,1406,28,0.077,0.878,1
44,1,3,3,0,4,0,28,5,2,3,1877,1203,674,0.654,2581,57,0.7809999999999999,0.6409999999999999,1
58,1,2,3,1,4,0,53,3,0,2,1944,0,1944,0.613,2412,40,0.481,0,1
46,0,5,2,2,3,0,33,6,3,3,32975,2517,30458,0.6579999999999999,597,17,0.7,0.076,1
38,1,1,3,2,4,0,26,5,2,4,3554,0,3554,0.782,2372,44,0.63,0,1
57,0,2,0,1,1,0,50,2,5,3,6462,0,6462,0.856,761,17,0.214,0,1
44,1,1,2,2,1,0,38,3,2,5,4142,2517,1625,0.809,2104,44,0.833,0.608,1
47,0,2,2,0,3,0,41,3,2,3,4586,0,4586,0.812,2529,43,0.433,0,1
47,1,2,3,1,4,0,39,5,3,3,3899,0,3899,0.718,2182,40,0.429,0,1
54,1,3,0,1,4,0,44,5,3,2,2921,2412,509,0.823,2612,33,0.375,0.826,1
36,1,4,2,1,4,0,24,3,2,2,3261,2517,744,0.3779999999999999,856,18,0.059,0.772,1
50,1,3,3,1,4,0,40,6,2,4,2897,1506,1391,0.618,2214,46,0.484,0.52,1
45,0,3,2,1,3,0,40,3,3,2,3728,0,3728,0.358,1632,42,0.4479999999999999,0,1
43,1,1,5,2,4,0,36,1,3,2,1818,0,1818,0.758,2279,50,0.7240000000000001,0,1
55,1,3,3,2,1,0,47,5,4,3,2687,1689,998,0.7140000000000001,2370,34,0.789,0.629,1
46,0,4,3,1,2,0,36,1,3,2,8017,0,8017,0.5589999999999999,1657,43,0.654,0,1
51,0,1,3,1,3,0,36,4,3,4,22754,0,22754,0.799,8531,77,0.7909999999999999,0,1
57,0,2,4,2,3,3,43,2,3,3,34516,1847,32669,0.557,7842,61,0.794,0.054,1
52,0,2,2,2,3,0,48,6,2,4,34516,0,34516,0.539,1661,40,0.6,0,1
44,0,2,1,1,3,0,38,1,2,1,25894,2517,23377,1.046,4847,49,0.815,0.097,1
42,0,2,5,2,2,0,30,2,2,3,6414,0,6414,0.718,708,14,0.4,0,1
26,0,0,2,2,4,0,13,5,2,4,2469,2410,59,0.544,1027,20,0.176,0.976,1
59,0,0,0,1,3,0,50,3,2,3,12918,2352,10566,1.008,9138,76,0.9,0.182,1
45,1,2,0,0,1,0,39,4,3,4,3076,0,3076,0.7340000000000001,2580,50,0.429,0,1
40,1,4,2,2,4,0,25,4,2,3,1438.3,0,1438.3,0.628,2493,42,0.5,0,1
51,0,5,2,0,0,0,45,6,3,6,34516,0,34516,0.757,8173,91,1.022,0,1
53,1,4,2,1,4,0,36,2,3,5,1438.3,0,1438.3,0.314,1739,44,0.467,0,1
57,0,2,2,2,0,0,44,5,3,4,34516,219,34297,0.482,1882,48,0.7140000000000001,0.006,1
59,1,2,5,1,4,0,51,5,5,4,1438.3,0,1438.3,0.6559999999999999,2146,44,0.63,0,1
48,0,3,0,1,3,0,41,2,3,3,3430,2517,913,0.8690000000000001,2639,46,0.643,0.7340000000000001,1
33,0,2,2,1,0,0,21,2,2,4,27992,0,27992,0.433,837,18,1,0,1
46,1,3,2,1,4,0,34,3,3,1,1438.3,0,1438.3,0.7140000000000001,2658,43,0.654,0,1
57,1,3,2,1,4,0,45,1,4,2,1759,186,1573,0.7559999999999999,2705,35,0.522,0.106,1
46,0,4,3,1,0,0,30,3,3,3,2442,0,2442,0.98,701,19,0.727,0,1
60,0,1,3,0,3,0,48,1,5,3,28930,0,28930,0.645,2251,27,0.2269999999999999,0,1
58,1,0,3,1,4,0,36,3,2,2,7418,396,7022,0.826,911,26,1,0.053,1
47,0,2,2,1,3,0,36,3,3,2,12933,2239,10694,0.445,6564,56,0.514,0.173,1
44,1,5,2,2,4,0,37,1,2,4,1491,0,1491,0.551,1970,46,0.484,0,1
35,1,5,3,1,1,0,25,3,2,6,1438.3,0,1438.3,0.763,2500,44,0.517,0,1
40,0,3,5,1,3,0,29,3,2,3,3616,1151,2465,0.687,820,21,0.75,0.318,1
51,1,2,5,2,4,0,36,2,3,3,1746,1107,639,0.539,1907,47,0.621,0.634,1
52,0,2,3,1,2,3,35,4,4,3,33180,511,32669,0.6809999999999999,797,14,0.273,0.015,1
41,1,2,3,1,4,0,36,3,2,2,2811,2404,407,0.491,2245,41,0.4639999999999999,0.855,1
41,1,4,2,1,4,0,26,4,2,2,3159,0,3159,0.916,2925,46,0.353,0,1
38,0,2,2,1,2,0,36,2,3,2,1438.3,0,1438.3,0.461,1651,42,0.5,0,1
53,0,4,2,1,0,0,38,5,2,3,34516,0,34516,0.8540000000000001,8417,72,0.7140000000000001,0,1
49,0,3,4,1,3,0,45,3,0,4,23870,0,23870,0.604,1885,39,0.345,0,1
27,1,0,3,2,4,0,18,6,1,4,1438.3,0,1438.3,0.7809999999999999,2641,40,0.6,0,1
40,0,3,2,2,3,0,20,1,2,2,32554,0,32554,0.872,8528,87,1.122,0,1
47,1,2,2,1,4,0,36,6,3,2,1693,1088,605,0.532,2104,40,0.7390000000000001,0.643,1
48,1,4,3,1,1,0,43,4,2,2,1438.3,0,1438.3,0.722,2520,45,0.452,0,1
48,1,2,5,1,4,0,41,5,3,2,2964,2517,447,0.6990000000000001,2327,38,0.81,0.8490000000000001,1
50,0,3,4,0,2,0,36,3,2,3,14409,511,13898,0.799,2351,39,0.3,0.035,1
45,1,3,2,0,1,0,41,1,3,3,1477,0,1477,0.768,2214,43,0.654,0,1
55,1,3,5,2,4,0,47,2,5,4,4841,859,3982,1.003,8918,87,0.977,0.177,1
52,0,1,5,1,3,0,36,2,3,3,1857,1833,24,0.723,829,17,0.7,0.987,1
64,0,0,2,2,4,0,36,3,3,5,3812,2517,1295,0.586,2325,45,0.731,0.66,1
50,0,3,5,1,2,0,45,2,2,5,21096,0,21096,0.637,1882,39,0.345,0,1
43,0,3,5,2,3,0,30,3,2,4,11336,0,11336,0.691,1809,39,0.345,0,1
58,0,2,2,1,1,0,48,2,3,3,4085,2238,1847,0.568,596,15,0.5,0.5479999999999999,1
33,0,4,0,2,1,3,20,2,1,3,15977,0,15977,0.7020000000000001,7745,64,0.684,0,1
50,1,0,2,2,4,0,41,2,3,1,3423,0,3423,0.505,2229,45,0.406,0,1
40,0,3,2,1,2,0,27,4,2,3,15186,0,15186,0.483,1884,33,0.435,0,1
42,1,2,2,2,1,3,32,4,3,3,17909,0,17909,0.225,5977,58,0.487,0,1
48,0,4,5,2,3,3,43,2,3,4,34516,0,34516,0.6709999999999999,1626,28,0.4,0,1
42,0,5,3,1,2,0,36,1,2,3,1866,0,1866,0.7979999999999999,2833,42,0.355,0,1
48,1,1,2,2,4,0,41,6,2,4,3001,482,2519,0.8140000000000001,2403,42,0.615,0.161,1
45,0,3,2,2,3,0,39,1,3,3,8383,0,8383,0.809,2600,44,0.517,0,1
43,1,4,0,1,4,0,23,6,2,3,7706,392,7314,0.764,965,27,0.421,0.051,1
45,0,5,0,2,1,0,36,4,3,3,4982,0,4982,0.8859999999999999,8586,58,1,0,1
42,0,3,2,1,4,0,38,2,3,3,6967,1767,5200,0.54,1919,38,0.52,0.254,1
39,0,3,3,2,3,0,13,2,1,3,8656,0,8656,0.893,8056,89,0.935,0,1
49,0,2,2,2,3,0,43,2,3,3,2384,1919,465,0.5,3512,50,0.471,0.805,1
40,0,3,1,1,1,0,36,3,3,4,2313,0,2313,0.6729999999999999,2249,42,0.312,0,1
56,1,1,0,2,4,0,43,3,2,2,2846,0,2846,0.747,2122,44,0.419,0,1
43,0,3,0,0,3,0,32,6,3,2,7278,0,7278,0.618,2120,43,0.593,0,1
47,0,3,2,2,1,0,34,4,3,3,4413,232,4181,0.799,7869,76,0.767,0.053,1
54,0,2,5,2,1,0,50,2,1,3,3682,2517,1165,0.379,1642,35,0.25,0.684,1
46,1,3,0,1,4,0,36,2,3,4,1804,0,1804,0.537,2077,44,0.419,0,1
43,0,2,2,1,3,0,33,5,3,3,2111,1761,350,0.753,2112,46,0.769,0.8340000000000001,1
56,1,1,4,1,4,0,36,6,2,2,2802,2256,546,0.615,2371,46,0.353,0.805,1
32,0,2,2,1,1,0,22,3,3,5,4739,0,4739,0.363,886,21,0.4,0,1
